# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	745395
#@/user_id	609eb46f-9fbb-457e-a6d7-e0f6bbed9cc1
a 	啊	c=55 d=0.1 t=726491
jin lai 	進來	c=191 d=1 t=743146
jin le 	進了	c=2 d=1 t=569715
jin liang 	儘量	c=103 d=1.00878 t=741003
jin long 	金龍	c=1 d=1 t=63437
jin luo mi gu 	緊鑼密鼓	c=1 d=1 t=711658
jin mi 	緊密	c=30 d=1 t=730715
jin nian 	今年	c=86 d=1 t=740613
jin nian di 	今年的	c=1 d=1 t=141915
jin po 	緊迫	c=1 d=1 t=561908
jin qi 	近期	c=33 d=1.00536 t=740273
jin qiao 	金橋	c=0 d=0.1 t=732625
jin qiao guo ji 	金橋國際	c=1 d=1 t=732626
jin qu 	進去	c=78 d=1.00015 t=736865
jin que 	緊缺	c=2 d=1 t=197649
jin qun 	進羣	c=2 d=1 t=408944
jin ri 	今日	c=7 d=1 t=535779
jin ri tou tiao 	今日頭條	c=1 d=1 t=307847
jin rong 	金融	c=14 d=1 t=734809
jin rong lei 	金融類	c=1 d=1 t=635382
jin ru 	進入	c=65 d=1 t=744139
jin ru zheng ti zhi qian 	進入正題之前	c=1 d=1 t=285883
jin shao 	進少	c=1 d=1 t=913
jin shen 	謹慎	c=34 d=1 t=728768
jin shen ta 	謹慎他	c=2 d=1.99005 t=11902
jin sheng 	晉升	c=252 d=1 t=728767
jin shi 	近視	c=1 d=1 t=425571
jin si 	近似	c=1 d=1 t=167363
jin ti 	禁體	c=4 d=1 t=535860
jin ti wang 	今題網	c=1 d=1 t=583451
jin tian 	今天	c=1205 d=1.93833 t=744477
jin tian bu chong 	今天補充	c=1 d=1 t=667409
jin tian de 	今天的	c=2 d=1 t=652571
jin tian fa 	今天發	c=1 d=1 t=187214
jin tian fa gei wo 	今天發給我	c=1 d=1 t=17491
jin tian fa xian 	今天發現	c=1 d=1 t=520783
jin tian ni 	今天你	c=1 d=1 t=598051
jin tian wan shang 	今天晚上	c=1 d=1 t=598636
jin tiao 	金條	c=1 d=1 t=659902
jin wan 	今晚	c=2 d=1 t=631688
jin xian yu 	僅限於	c=3 d=1 t=531284
jin xiao shen wei 	謹小慎微	c=1 d=1 t=735994
jin xin 	金鑫	c=1 d=1 t=231298
jin xing 	進行	c=250 d=1.6942 t=740298
jin xing guo 	進行過	c=1 d=1 t=22117
jin xing ti sheng 	進行提升	c=1 d=1 t=516853
jin xing zhong 	進行中	c=17 d=1.00247 t=735221
jin yang 	金陽	c=1 d=1 t=734871
jin yang lu 	金楊路	c=1 d=1 t=52012
jin yao 	緊要	c=1 d=1 t=568860
jin yi 	進一	c=1 d=0.1 t=695287
jin yi bu 	進一步	c=276 d=1 t=740308
jin yi bu chai fen 	進一步拆分	c=1 d=1 t=50965
jin yi bu chou xiang 	進一步抽象	c=1 d=1 t=259095
jin yi bu fen 	進一部分	c=2 d=1 t=273248
jin yi bu jiang di 	進一步降低	c=2 d=1 t=695620
jin yi ge 	進一個	c=2 d=1.41478 t=695464
jin yong 	禁用	c=34 d=1 t=735801
jin you 	僅有	c=1 d=1 t=412356
jin zao 	儘早	c=14 d=1 t=735654
jin zhan 	進展	c=470 d=1 t=745162
jin zhan he 	進展和	c=1 d=1 t=64705
jin zhan ru xia 	進展如下	c=1 d=1 t=654402
jin zhan tong bu 	進展同步	c=1 d=1 t=583794
jin zhang 	緊張	c=29 d=1 t=627491
jin zheng 	金正	c=1 d=1 t=360496
jin zhi 	禁止	c=23 d=1 t=719605
jin zhi jin ze 	盡職盡責	c=1 d=1 t=231208
jin zhou 	晉州	c=4 d=1 t=456843
jin zhou shi 	晉州市	c=12 d=1 t=571341
jin zuo 	僅作	c=1 d=1 t=393367
jing 	井	c=1 d=1 t=605365
jing 	京	c=3 d=1 t=614307
jing 	景	c=2 d=1 t=322484
jing 	晶	c=4 d=1 t=590597
jing 	精	c=2 d=1 t=495220
jing 	菁	c=2 d=1 t=507127
jing 	靜	c=3 d=1 t=591839
jing bing qiang jiang 	精兵强将	c=1 d=1 t=85912
jing cai 	競猜	c=1 d=1 t=197937
jing cai 	精彩	c=2 d=1 t=535471
jing cha 	警察	c=1 d=1 t=375999
jing chang 	經常	c=105 d=1 t=741972
jing chang xing 	經常性	c=1 d=1 t=67699
jing cui 	精粹	c=1 d=1 t=56242
jing de qi 	經得起	c=1 d=1 t=366419
jing dian 	經典	c=7 d=1 t=665211
jing dong 	京東	c=8 d=1 t=549557
jing dong 	驚動	c=1 d=1 t=197998
jing dong ka 	京东卡	c=1 d=1 t=482653
jing du 	精度	c=5 d=1 t=721660
jing fei 	經費	c=17 d=1 t=716975
jing gao 	警告	c=16 d=1.99501 t=690047
jing geng xi zuo 	精耕細作	c=1 d=1 t=571551
jing guan 	景觀	c=1 d=1 t=720593
jing guo 	經過	c=49 d=1 t=726501
jing guo yi ge 	經過一個	c=1 d=1 t=109649
jing hua 	警花	c=1 d=1 t=561585
jing ji 	經濟	c=17 d=1 t=712784
jing ji 	經紀	c=3 d=1 t=335293
jing ji ren 	經濟人	c=3 d=1 t=335292
jing ji ren 	經紀人	c=1 d=1 t=335339
jing ji xue 	經濟學	c=1 d=1 t=626711
jing jian 	精簡	c=57 d=1 t=742904
jing jian ban 	精簡版	c=6 d=1 t=696689
jing jiang 	靖江	c=1 d=1 t=229546
jing jin 	精進	c=3 d=1 t=609192
jing jing 	靜靜	c=18 d=1 t=679654
jing li 	精力	c=110 d=1 t=736088
jing li 	經歷	c=242 d=1 t=734857
jing li 	經理	c=35 d=1 t=675776
jing li guo 	經歷過	c=6 d=1.00105 t=568100
jing lian 	精煉	c=1 d=1 t=645866
jing lian 	精練	c=1 d=1 t=718056
jing ling 	精靈	c=2 d=1.38098 t=664725
jing nei 	境內	c=2 d=1 t=320877
jing pin 	競品	c=41 d=1 t=734886
jing pin 	精品	c=6 d=1 t=680011
jing qing 	敬請	c=2 d=1 t=307873
jing qing guan zhu 	敬請關注	c=2 d=1 t=482487
jing qing qi dai 	敬請期待	c=1 d=1 t=210655
jing qu 	景區	c=2 d=1 t=732472
jing que 	精確	c=12 d=1.96561 t=666633
jing sai 	競賽	c=4 d=1 t=508053
jing shen 	精神	c=8 d=1 t=660559
jing si 	竟似	c=0 d=0.1 t=508051
jing si a 	竟似啊	c=1 d=1 t=508052
jing tai 	靜態	c=85 d=1 t=730065
jing tai hua 	靜態話	c=2 d=1 t=456688
jing ti 	晶體	c=1 d=1 t=114278
jing tong 	精通	c=3 d=1 t=684575
jing tou 	鏡頭	c=8 d=1 t=717823
jing tou wen jian 	鏡頭文件	c=1 d=1 t=292441
jing wai 	境外	c=1 d=1 t=119933
jing wei 	敬畏	c=1 d=1 t=235731
jing xi 	精細	c=3 d=1 t=693863
jing xi 	驚喜	c=4 d=1 t=594420
jing xi hua 	精細化	c=11 d=1 t=733798
jing xian 	驚險	c=1 d=1 t=593352
jing xiang 	景象	c=1 d=1 t=17301
jing xiang 	鏡像	c=45 d=1.04181 t=736617
jing xin 	精心	c=4 d=1 t=619784
jing xin 	靜心	c=1 d=1 t=619900
jing xin dong po 	驚心動魄	c=1 d=1 t=560668
jing xuan 	競選	c=2 d=1.956 t=253700
jing xuan 	精選	c=1 d=1 t=630593
jing yan 	經驗	c=405 d=1.00004 t=741686
jing yan hai 	經驗還	c=1 d=1 t=207523
jing yan hai shi 	經驗還是	c=1 d=1 t=656658
jing yan zhi 	經驗值	c=1 d=1 t=394604
jing yang 	敬仰	c=2 d=1 t=352801
jing ye 	敬業	c=2 d=1.41271 t=318113
jing ye 	競業	c=20 d=0.1 t=737873
jing ye du 	競業度	c=1 d=1 t=737874
jing yi 	經意	c=1 d=1 t=584979
jing yi qiu jing 	精益求精	c=3 d=1.99501 t=726775
jing yin 	靜音	c=1 d=1 t=131051
jing ying 	經營	c=11 d=1 t=571171
jing ying jie shi 	經營解釋	c=1 d=1 t=479315
jing ying yi shi 	經營意識	c=3 d=1 t=474720
jing ying yi shi he 	經營意識和	c=1 d=1 t=291198
jing zhen 	荆榛	c=1 d=1 t=147331
jing zheng 	競爭	c=56 d=1 t=664537
jing zheng ce lve 	競爭策略	c=1 d=1 t=334565
jing zheng da 	競爭大	c=1 d=1 t=226787
jing zheng dui shou 	競爭對手	c=2 d=1 t=533619
jing zheng ji lie 	競爭激烈	c=1 d=1 t=253872
jing zheng li 	競爭力	c=23 d=1 t=654837
jing zheng you shi 	競爭優勢	c=1 d=1 t=431579
jing zheng zhe 	競爭者	c=1 d=1 t=334543
jing zhi 	淨值	c=1 d=1 t=231859
jing zhi 	精緻	c=2 d=1 t=554093
jiong 	囧	c=168 d=1 t=735159
jiong jiong you shen 	炯炯有神	c=1 d=1 t=488481
jiong yi 	迥異	c=1 d=1 t=501236
jiu 	久	c=46 d=1.9802 t=737494
jiu 	九	c=6 d=1.57121 t=617443
jiu 	就	c=2820 d=4.32395 t=745387
jiu 	舊	c=44 d=1 t=675706
jiu 	酒	c=3 d=1 t=732270
jiu a 	就啊	c=1 d=1 t=489506
jiu ai 	就愛	c=0 d=0.1 t=431848
jiu ai 	舊愛	c=0 d=0.1 t=714202
jiu ai ge 	就愛個	c=1 d=1 t=78991
jiu ai gou 	舊愛夠	c=6 d=1 t=544792
jiu ai le 	舊愛了	c=1 d=1 t=714203
jiu ai ru 	就愛如	c=3 d=1 t=611037
jiu ai shang 	就愛上	c=3 d=1 t=720292
jiu ai su 	就愛素	c=1 d=1 t=431849
jiu ai ting 	舊愛聽	c=1 d=1 t=291552
jiu ai you 	舊愛有	c=2 d=1 t=516359
jiu ai zhi 	舊愛只	c=1 d=1 t=143483
jiu ba 	酒吧	c=1 d=1 t=375560
jiu ban 	舊版	c=13 d=1.98511 t=695564
jiu bei 	就被	c=4 d=1 t=703856
jiu bu 	就不	c=3 d=0.1 t=300565
jiu bu gan xing qu 	就不感興趣	c=1 d=1 t=300566
jiu bu qing chu 	就不清楚	c=2 d=1 t=257682
jiu bu que ding 	就不確定	c=1 d=1 t=96703
jiu bu shi 	就不是	c=1 d=1 t=476288
jiu bu tai 	就不太	c=1 d=1 t=217445
jiu bu yong 	就不用	c=2 d=1 t=244101
jiu cai 	韭菜	c=1 d=1 t=202256
jiu cha 	就差	c=3 d=1 t=475037
jiu cha dui 	糾察隊	c=2 d=1.98511 t=512938
jiu cheng 	就成	c=1 d=1 t=32157
jiu chu 	揪出	c=1 d=1 t=280294
jiu chu lai 	揪出來	c=1 d=1 t=263993
jiu chu xian 	就出現	c=1 d=1 t=703580
jiu ci 	就此	c=1 d=1 t=490004
jiu cuo 	糾錯	c=1 d=1 t=658183
jiu dang 	就當	c=1 d=1 t=518491
jiu dao 	就到	c=3 d=1 t=604310
jiu deng 	久等	c=1 d=1 t=49864
jiu deng ni 	就等你	c=1 d=1 t=67341
jiu dian 	酒店	c=101 d=4.49418 t=732915
jiu dian lv you 	酒店旅遊	c=1 d=1 t=732634
jiu du 	就讀	c=3 d=1.90484 t=151940
jiu du yu 	就讀於	c=2 d=1 t=249522
jiu ei guo 	就誒過	c=1 d=1 t=737810
jiu ei shu 	就誒書	c=2 d=1 t=607246
jiu ei shu ao 	就誒書奧	c=2 d=1 t=667652
jiu ei xia lai 	就誒下來	c=1 d=1 t=741737
jiu gen 	就跟	c=1 d=1 t=183968
jiu gou 	就夠	c=3 d=1 t=469067
jiu gou le 	就夠了	c=5 d=1.00023 t=702189
jiu guo 	救國	c=1 d=1 t=306875
jiu ha 	就哈	c=3 d=1 t=554705
jiu hao 	就好	c=25 d=0.1 t=709790
jiu hao er lai 	就好而來	c=1 d=1 t=709791
jiu hao le 	就好了	c=99 d=1.00705 t=737422
jiu hen kuai 	就很快	c=1 d=1 t=23780
jiu hui 	就會	c=27 d=1 t=742630
jiu hui gua 	就會掛	c=1 d=1 t=154563
jiu huo 	救火	c=2 d=1 t=539515
jiu jian kong 	就監控	c=1 d=1 t=297652
jiu jie 	糾結	c=53 d=1 t=724835
jiu jie sha 	糾結啥	c=1 d=1 t=105430
jiu jin shan 	舊金山	c=14 d=1 t=614843
jiu kai shi 	就開始	c=1 d=1 t=176200
jiu kan 	就看	c=3 d=1 t=418047
jiu kao 	就靠	c=1 d=1 t=551619
jiu ke yi 	就可以	c=4 d=1 t=716294
jiu lai 	就來	c=2 d=1 t=713129
jiu le 	久了	c=3 d=1 t=614345
jiu lei si yu 	就類似於	c=1 d=1 t=480779
jiu mei 	就沒	c=1 d=1 t=176600
jiu mei sha 	就沒啥	c=1 d=1 t=29037
jiu mei you 	就沒有	c=3 d=1 t=511411
jiu na 	就拿	c=1 d=0.1 t=254773
jiu na ge 	就那個	c=1 d=1 t=493913
jiu na shi 	就拿是	c=1 d=1 t=254774
jiu neng 	就能	c=4 d=1.00001 t=714007
jiu niu er hu 	九牛二虎	c=1 d=1 t=397942
jiu pa 	就怕	c=1 d=1 t=423768
jiu pian 	糾偏	c=2 d=1 t=631409
jiu que ding 	就確定	c=1 d=1 t=672879
jiu rang 	就讓	c=2 d=1 t=655082
jiu rong yi 	就容易	c=1 d=1 t=463285
jiu shi 	就是	c=832 d=1.32582 t=745150
jiu shi lun shi 	就事論事	c=1 d=1 t=219535
jiu shu yu 	就屬於	c=2 d=1 t=286225
jiu shuo 	就說	c=10 d=1 t=695436
jiu shuo me 	就說麼	c=1 d=1 t=716552
jiu shuo ming 	就說明	c=1 d=1 t=703779
jiu suan 	就算	c=12 d=1 t=700021
jiu suan le 	就算了	c=3 d=1 t=638500
jiu suan qu 	就算去	c=1 d=1 t=124768
jiu suan shi 	就算是	c=1 d=1 t=221654
jiu ta 	就他	c=4 d=1 t=657895
jiu wei le 	就爲了	c=1 d=1 t=290008
jiu wen 	就問	c=1 d=1 t=40252
jiu wen da ming 	久闻大名	c=1 d=1 t=21968
jiu wo 	酒窩	c=2 d=1 t=705535
jiu xiang 	就像	c=2 d=1 t=719255
jiu xiang 	就想	c=2 d=1 t=86316
jiu xing 	就行	c=49 d=1 t=733176
jiu xing bu tong 	就行不同	c=1 d=1 t=482940
jiu xing le 	就行了	c=1 d=1 t=697110
jiu yao 	就要	c=24 d=1 t=710111
jiu ye 	就業	c=9 d=1 t=626867
jiu yi 	就醫	c=2 d=1 t=480669
jiu yin wei 	就因爲	c=1 d=1 t=22001
jiu yong 	就用	c=7 d=1 t=670555
jiu you 	就有	c=24 d=1 t=733917
jiu you qu bie 	就有區別	c=1 d=1 t=37567
jiu you ren 	就有人	c=1 d=1 t=137546
jiu you zi qu 	咎由自取	c=1 d=1 t=195063
jiu yuan 	救援	c=1 d=1 t=16681
jiu zai 	就在	c=7 d=1 t=709401
jiu zhe 	就這	c=8 d=1.00004 t=681031
jiu zhe 	揪着	c=1 d=1 t=180019
jiu zhe ge 	就這個	c=1 d=1 t=67750
jiu zhe me 	就這麼	c=1 d=1 t=705089
jiu zhe yi kuan 	就這一款	c=1 d=1 t=583948
jiu zhen 	就診	c=1 d=1 t=370023
jiu zheng 	糾正	c=9 d=1 t=734074
jiu zheng wo 	糾正我	c=1 d=1 t=126705
jiu zhi 	就職	c=2 d=1 t=561093
jiu zhi 	救治	c=1 d=1 t=116688
jiu zhi yu 	就職於	c=28 d=1 t=577265
jiu zuo zai 	就坐在	c=1 d=1 t=22230
ju 	局	c=10 d=1 t=713128
ju 	聚	c=2 d=1 t=622670
ju 	舉	c=9 d=1 t=607253
ju 	距	c=0 d=0.1 t=444547
ju a 	據啊	c=1 d=1 t=193581
ju bao 	舉報	c=10 d=1 t=713768
ju bei 	具備	c=53 d=1 t=714024
ju bie 	據別	c=1 d=1 t=64056
ju bing 	句柄	c=1 d=1 t=278974
ju bu 	局部	c=15 d=1 t=701685
ju bu you hua 	局部優化	c=1 d=1 t=529474
ju bu zui you 	局部最優	c=1 d=1 t=517298
ju can 	聚餐	c=24 d=1 t=734202
ju ci 	據此	c=1 d=1 t=309896
ju cuo 	舉措	c=3 d=1 t=602819
ju da 	巨大	c=5 d=1 t=593615
ju de 	局地	c=1 d=1 t=362560
ju ding 	據定	c=1 d=1 t=474263
ju dui 	局對	c=3 d=1 t=733891
ju duo 	居多	c=3 d=1 t=593467
ju ge 	舉個	c=77 d=1.00001 t=745097
ju ge li zi 	舉個例子	c=1 d=1 t=459776
ju he 	聚合	c=18 d=1 t=718747
ju hua 	句話	c=0 d=0.1 t=313275
ju hua 	菊花	c=2 d=1 t=377309
ju hui 	聚會	c=1 d=1.09704 t=476062
ju jia 	居家	c=44 d=1 t=715255
ju jia ba 	居家吧	c=1 d=1 t=447122
ju jiao 	聚焦	c=47 d=1.00196 t=727585
ju jie 	聚結	c=1 d=1 t=220285
ju jin 	拘謹	c=1 d=1 t=303103
ju ju 	聚聚	c=4 d=1 t=717064
ju jue 	拒絕	c=98 d=1 t=716092
ju jue ai 	拒絕愛	c=1 d=1 t=696070
ju le 	舉了	c=7 d=1 t=707486
ju le bu 	俱樂部	c=2 d=1.9802 t=196752
ju lei 	聚類	c=4 d=3.05906 t=683058
ju li 	舉例	c=4 d=1.01162 t=612739
ju li 	距離	c=9 d=1 t=615325
ju liang 	巨量	c=4 d=1 t=217851
ju mian 	局面	c=1 d=1 t=164437
ju min 	居民	c=6 d=1.93239 t=715054
ju ming 	劇名	c=1 d=1 t=715053
ju qian 	拒簽	c=4 d=1 t=623599
ju ran 	居然	c=92 d=1.00001 t=741212
ju ran you 	居然有	c=1 d=1 t=202034
ju ren 	巨人	c=1 d=1 t=273159
ju se 	懼色	c=1 d=1 t=335255
ju sha cheng ta 	聚沙成塔	c=1 d=1 t=572349
ju shi 	巨石	c=1 d=1 t=365232
ju shou 	舉手	c=4 d=1.99501 t=338426
ju shu 	拘束	c=1 d=1 t=91213
ju shuo 	據說	c=22 d=1.03817 t=702668
ju su hou 	據素後	c=1 d=1 t=19395
ju ta 	據他	c=1 d=1 t=42875
ju ti 	具體	c=336 d=1 t=743648
ju tong ji 	據統計	c=1 d=1 t=272200
ju wei hui 	居委會	c=6 d=1 t=657929
ju wo 	據我	c=4 d=1 t=528123
ju wo suo zhi 	據我所知	c=1 d=1 t=196432
ju xian 	侷限	c=11 d=1 t=636243
ju xian bu bi qin 	侷限不必親	c=1 d=1 t=476008
ju xian xing 	侷限性	c=1 d=1 t=89272
ju xian yu 	侷限於	c=7 d=1 t=455818
ju xian zai 	侷限在	c=4 d=1 t=702869
ju xing 	矩形	c=1 d=1 t=534171
ju you 	具有	c=2 d=1 t=657315
ju zhen 	矩陣	c=9 d=1 t=660910
ju zhen bian hua 	矩陣變化	c=1 d=1 t=50727
ju zheng 	舉證	c=2 d=1.99501 t=258288
ju zhong 	居中	c=5 d=1.98511 t=507175
ju zhu 	居住	c=2 d=1 t=592059
ju zhu zheng 	居住證	c=6 d=2.89776 t=506226
ju zi 	句子	c=6 d=1 t=656466
juan 	卷	c=47 d=1 t=669530
juan 	娟	c=5 d=1 t=571266
juan qian 	捐錢	c=1 d=1 t=172107
juan tu chong lai 	捲土重來	c=1 d=1 t=700946
jue 	覺	c=1 d=1 t=739299
jue ce 	決策	c=29 d=1 t=720853
jue ce shu 	決策樹	c=1 d=1 t=26691
jue da 	絕大	c=8 d=1 t=693769
jue da bu fen 	絕大部分	c=2 d=1 t=140103
jue de 	覺得	c=2 d=1 t=362561
jue ding 	決定	c=41 d=1 t=732178
jue ding quan 	決定權	c=1 d=1 t=309244
jue ding xing 	決定性	c=2 d=1 t=239336
jue duan 	決斷	c=3 d=1 t=516816
jue dui 	絕對	c=31 d=1 t=733892
jue dui zhi 	絕對值	c=2 d=1 t=722667
jue jin 	掘金	c=37 d=1 t=535461
jue mi 	絕密	c=1 d=1 t=481117
jue se 	角色	c=414 d=1 t=744302
jue se me 	角色麼	c=1 d=1 t=415349
jue xin 	決心	c=2 d=1 t=627120
jun 	俊	c=17 d=1 t=664475
jun 	君	c=19 d=1 t=729129
jun 	均	c=5 d=0.1 t=570343
jun 	珺	c=21 d=1.95123 t=237439
jun 	軍	c=69 d=1 t=651232
jun 	駿	c=27 d=1 t=658494
jun bei 	軍備	c=0 d=0.1 t=167541
jun bin 	軍斌	c=13 d=1.00002 t=436956
jun bu 	均不	c=0 d=0.1 t=188003
jun bu ni 	均不你	c=1 d=1 t=188004
jun dui 	軍隊	c=1 d=1 t=335712
jun gong 	軍工	c=1 d=1 t=554172
jun heng 	均衡	c=9 d=1 t=605007
jun jie 	俊傑	c=14 d=1 t=531843
jun ke 	均可	c=5 d=1 t=623568
jun ke yi 	均可以	c=1 d=1 t=570344
jun shi 	軍事	c=2 d=1 t=389637
jun ti gong 	均提供	c=1 d=1 t=223605
jun xin 	軍心	c=1 d=1 t=378607
jun yu 	峻宇	c=1 d=1 t=500143
jun yun 	均勻	c=1 d=1 t=576700
jun zhi 	均值	c=4 d=1 t=553177
ka 	卡	c=78 d=1.00007 t=743230
ka 	咖	c=3 d=1 t=361124
ka cha 	咔嚓	c=1 d=1 t=402109
ka che 	卡車	c=3 d=1.99005 t=535954
ka cheng 	卡成	c=1 d=1 t=259730
ka dao 	卡到	c=2 d=1 t=680743
ka dian 	卡點	c=43 d=1 t=734479
ka dun 	卡噸	c=3 d=1 t=186236
ka dun 	卡頓	c=10 d=1 t=733918
ka dun lv 	卡頓率	c=2 d=1 t=725045
ka fa 	卡發	c=3 d=1 t=529241
ka fei 	咖啡	c=6 d=1 t=577654
ka fei dian 	咖啡店	c=1 d=1 t=648812
ka fei ting 	咖啡廳	c=1 d=1 t=293300
ka ke 	卡殼	c=13 d=1 t=676507
ka le 	卡了	c=27 d=0.1 t=743685
ka le kan 	卡了看	c=1 d=1 t=743686
ka na wa luo 	卡納瓦羅	c=2 d=1 t=360630
ka neng 	卡能	c=1 d=1 t=528906
ka pian 	卡片	c=63 d=2.91209 t=739760
ka shi 	喀什	c=2 d=1 t=461734
ka si 	卡死	c=10 d=1 t=606385
ka wei 	卡位	c=1 d=1 t=217630
ka wei 	咖尾	c=1 d=1 t=288837
ka zai 	卡在	c=8 d=1 t=715504
ka zhu 	卡住	c=27 d=1.00036 t=739913
ka zhu 	卡柱	c=3 d=1 t=93525
kai 	凱	c=11 d=1.50158 t=657951
kai 	愷	c=3 d=1.93707 t=144084
kai 	鍇	c=16 d=1 t=350532
kai 	開	c=166 d=1.00011 t=734127
kai an fu 	開安撫	c=5 d=1 t=658953
kai an fu zai 	開安撫在	c=1 d=1 t=633523
kai bing 	開病	c=1 d=1 t=362658
kai bu hui qu 	開不回去	c=1 d=1 t=558172
kai chang 	開場	c=12 d=1.91851 t=714726
kai che 	開車	c=12 d=2.76885 t=629635
kai chi 	開吃	c=1 d=1 t=367746
kai chu 	開除	c=3 d=1 t=707342
kai chu lai 	開出來	c=1 d=1 t=618806
kai chuang 	開創	c=1 d=1 t=234307
kai dan 	開單	c=1 d=1 t=508937
kai dao 	開刀	c=1 d=1 t=403269
kai dao 	開導	c=1 d=1 t=632577
kai diao 	開弔	c=2 d=1 t=290561
kai duan 	開端	c=1 d=1 t=365858
kai fa 	開發	c=1509 d=2.4671 t=744311
kai fa ai 	開發愛	c=2 d=1 t=347080
kai fa guo 	開發過	c=5 d=1 t=158094
kai fa huan jing 	開發環境	c=1 d=1 t=697861
kai fa jin xing 	開發進行	c=1 d=1 t=221716
kai fa jing yan 	開發經驗	c=1 d=1 t=728662
kai fa kan 	開發看	c=1 d=1 t=703670
kai fa zhe 	開發者	c=336 d=1 t=745349
kai fa zhe de 	開發者的	c=1 d=1 t=586171
kai fa zhe ge 	開發這個	c=1 d=1 t=535514
kai fa zhong 	開發中	c=1 d=1 t=433307
kai fang 	開放	c=215 d=1.73616 t=742804
kai fang chu qu 	開放出去	c=1 d=1 t=395223
kai fang gei 	開放給	c=2 d=1 t=446243
kai fang neng li 	開放能力	c=1 d=1 t=572592
kai fang ping tai 	開放平臺	c=4 d=1.00002 t=414378
kai fang ri 	開放日	c=1 d=1 t=103842
kai fang shi chang 	開放市場	c=2 d=1 t=475693
kai fang xing 	開放性	c=1 d=1 t=446205
kai feng 	開封	c=1 d=1 t=246946
kai ge 	凱歌	c=4 d=1 t=483244
kai ge 	開個	c=8 d=1 t=717210
kai ge hui 	開個會	c=1 d=1 t=146152
kai guan 	開關	c=27 d=1.97531 t=717344
kai guang 	開光	c=1 d=1 t=90763
kai guo 	開過	c=6 d=1 t=584441
kai guo hui 	開過會	c=3 d=1 t=478239
kai hu 	開戶	c=1 d=1 t=124465
kai hua 	開化	c=1 d=1 t=574293
kai hua 	開花	c=2 d=1 t=651920
kai hui 	開會	c=86 d=1 t=722481
kai hui qu 	開回去	c=1 d=1 t=559917
kai jiang 	開獎	c=3 d=1.50662 t=548651
kai ju 	開具	c=3 d=1.85214 t=717703
kai kai 	開開	c=1 d=1 t=456045
kai ke 	開課	c=3 d=1.89583 t=279458
kai kou 	開口	c=3 d=1.96079 t=540173
kai kuo 	開闊	c=2 d=1 t=544185
kai lai 	開來	c=4 d=1 t=693516
kai lang 	開朗	c=1 d=1 t=642429
kai le 	開了	c=20 d=1.68729 t=708422
kai le ya 	開了呀	c=1 d=1 t=550846
kai men 	開門	c=7 d=1.80654 t=670528
kai men da ji 	開門大吉	c=1 d=1 t=609947
kai pao 	開炮	c=1 d=1 t=142942
kai pen 	開噴	c=1 d=1 t=426029
kai pi 	開闢	c=3 d=1 t=563326
kai ping 	開屏	c=1 d=1 t=315024
kai qi 	開啓	c=53 d=1 t=729855
kai qi lai 	開起來	c=1 d=1 t=369809
kai qi le 	開啓了	c=1 d=1 t=708038
kai qi zhu ce 	開啓註冊	c=1 d=1 t=6640
kai qiao 	開竅	c=3 d=1.96561 t=492616
kai she 	開設	c=2 d=1 t=532535
kai shi 	開始	c=724 d=1.17504 t=744138
kai shi ding wei 	開始定位	c=1 d=1 t=317829
kai shi gao 	開始搞	c=6 d=1 t=523861
kai shi kai hui 	開始開會	c=1 d=1 t=649964
kai shi pu 	開始鋪	c=1 d=1 t=378472
kai shu 	楷書	c=1 d=1 t=602658
kai tong 	開通	c=10 d=1 t=699101
kai tong guo 	開通過	c=2 d=1 t=257453
kai tou 	開頭	c=3 d=1 t=698185
kai tuo 	開拓	c=3 d=1 t=592620
kai wan 	開完	c=32 d=1.97045 t=731150
kai wan hui 	开晚会	c=6 d=1.3396 t=731148
kai wan xiao 	開玩笑	c=6 d=1 t=636541
kai xiang 	開箱	c=1 d=0.1 t=368524
kai xiao 	開銷	c=4 d=1 t=717993
kai xin 	開心	c=21 d=1 t=678713
kai yan 	開眼	c=3 d=1 t=449746
kai yan 	開言	c=9 d=1.92774 t=600353
kai yan ying yu 	開言英語	c=1 d=1 t=190295
kai yang 	凱陽	c=1 d=1 t=5254
kai yao 	開藥	c=1 d=1 t=602879
kai yi 	開一	c=1 d=1 t=401200
kai yi xia 	開一下	c=1 d=1 t=684083
kai yuan 	開源	c=443 d=1 t=732076
kai yuan de 	開源的	c=1 d=1 t=529268
kai yuan ne 	開源呢	c=2 d=1 t=713982
kai yuan she qu 	開源社區	c=1 d=1 t=273148
kai yuan sheng tai 	開源生態	c=1 d=1 t=349297
kai yuan xiang mu 	開源項目	c=5 d=1 t=498062
kai yuan zhi hou 	開源之後	c=1 d=1 t=306882
kai zhan 	開展	c=42 d=1 t=719843
kai zhan guo 	開展過	c=1 d=1 t=545292
kai zhang 	開張	c=3 d=1 t=34005
kai zhe 	開着	c=8 d=1 t=694311
kai zhen 	开诊	c=1 d=1 t=686536
kai zhong 	開中	c=1 d=1 t=451075
kan 	坎	c=1 d=1 t=155211
kan 	看	c=1944 d=2.61315 t=745304
kan 	砍	c=24 d=1.90937 t=695423
kan a dou 	看啊都	c=1 d=1 t=606519
kan ao 	看奧	c=4 d=1 t=740692
